video_id,title,published_at,duration,view_count,like_count,comment_count
4x0c_ZeQJDs,Elle joue à Valorant à 72 ans,2024-07-17T17:00:02Z,PT45S,586908,39780,32
YC_QhRzSYRo,Ne faites pas vos créneaux comme Évelyne,2024-07-15T17:00:21Z,PT54S,1081633,70570,100
DlxRUshd41g,Squeezie se fait cancel en plein tournage,2024-07-13T17:59:58Z,PT40S,516772,32448,75
Vf9DI4oBOiU,Il conduit à 15 ans,2024-07-05T17:00:44Z,PT57S,1442658,114821,160
x7bDk4Jvh6s,"Qui sera la meilleure génération ? (ft Djilsi, Maxime Biaggi & Billy)",2024-07-04T18:54:31Z,PT49M19S,11722926,504940,7803
L9HzH8v0Now,Ces parents cachaient un horrible secret...,2024-06-28T18:29:35Z,PT37M19S,11248537,598315,10365
ZeJqsG2r7wE,Squeezie n'aime pas les Trappistes?,2024-06-27T17:00:20Z,PT42S,429043,18766,45
quCisV8sNcU,L'interrogatoire de DJ Snake,2024-06-18T18:01:59Z,PT59S,2480387,114552,354
rmL7pzYWe0Q,"""Oh la vache !""",2024-06-16T11:52:36Z,PT56S,2797849,184496,561
k-x7rTbrtTk,QUI EST L'IMPOSTEUR ? (ft Omar Sy & DJ Snake),2024-06-15T17:54:06Z,PT42M33S,16299634,705735,13456
dGYArVDhgO4,GP Explorer 3 ?,2024-06-10T17:00:24Z,PT52S,1047768,71583,202
SvU3wJ0WWjc,Pourquoi je n'ai plus répondu à Cyprien ?,2024-06-09T08:02:17Z,PT47S,2753554,143978,394
ITeChD670b4,Ce cuisinier japonais a infiltré la Corée du Nord...,2024-06-07T17:44:41Z,PT25M30S,8517714,449182,6471
8eE7Fg3CS3s,Éric et Ramzy entrent à Grévin,2024-06-06T13:23:02Z,PT59S,342481,17803,74
_cLt2gFDTRs,Est-ce que j'ai été touché que Tibo passe premier ?,2024-06-04T17:00:21Z,PT37S,1012911,66224,557
EnxQetOWRoU,Qui a chié dans le lavabo ?,2024-06-01T17:00:12Z,PT59S,2644673,179046,273
wHgW1jU3YZc,"On passe au détecteur de mensonges... (ft Djilsi, Maxime Biaggi & Gotaga)",2024-05-31T18:06:45Z,PT31M51S,10961791,518754,5122
F4wVfaH8S-U,Squeezie fait un accent raciste ?!,2024-05-26T12:44:05Z,PT59S,2836760,186161,1130
X73UMj2_zSY,"Le jeu de l'imposteur, version Hardcore",2024-05-23T17:00:20Z,PT57S,4260472,193542,425
-LRPXtezifM,Squeezie se fait raser le crâne ?,2024-05-19T09:43:07Z,PT55S,363839,23470,115
p9sfxpgRATM,"IL Y A QUOI DERRIÈRE LA PORTE ? (ft Eric & Ramzy, Mister V)",2024-05-18T18:55:13Z,PT57M58S,18751706,833350,20177
5ADiaN7-0NM,De retour sur youtube Samedi 18 Mai 🫶🏻,2024-05-11T17:55:24Z,PT34S,644434,70560,2496
z1-WSa3MzxY,Billy s'est fait piéger,2024-05-08T17:00:40Z,PT47S,1259506,77278,99
-IL4EmCBRzI,La chorégraphie de Squeezie et Seb,2024-05-05T17:00:00Z,PT47S,429047,31778,80
GZVlFfMLQeU,Je fais un cadeau au professeur,2024-05-02T17:00:12Z,PT25S,176853,10144,28
E9tO_QQypXQ,Je pense qu'Hugo s'est fait avoir,2024-04-29T17:00:08Z,PT36S,582237,41510,54
udDWLt-C6UE,Je suis si mauvais acteur,2024-04-26T17:00:39Z,PT39S,281522,22095,42
KYLzNDx29kc,On est les Dalton,2024-04-23T17:00:23Z,PT21S,966220,60239,45
VK5rqkaUkA0,Les problèmes de couple du prof,2024-04-20T17:00:29Z,PT42S,598266,37310,46
d3chiw-71sU,Qui aura les lunettes piégées ?,2024-04-17T17:00:19Z,PT16S,580069,42065,60
xHWSbLh1poQ,Maxence a un problème...,2024-04-14T17:00:27Z,PT39S,477874,26521,36
hmfqaRnnaz8,Qui va manger le piment?,2024-04-11T17:00:33Z,PT38S,531877,29809,38
-pGzRv-O-6Y,On s'affronte en combat de Sumo,2024-03-24T18:00:00Z,PT52S,187696,8883,43
-V9aLVCza-o,Carlito devient fou pour un gâteau,2024-03-21T18:00:00Z,PT46S,156720,9761,31
hwgfAyQ1meY,J'offre une boîte à cris à McFly & Carlito,2024-03-17T18:00:18Z,PT48S,1130568,88362,66
4MlLnd2-CNE,Elle est psycho-rigide,2024-03-14T18:00:02Z,PT56S,1915382,99047,195
me36CP89ESs,Maghla se prend un énorme stop,2024-03-11T18:00:19Z,PT18S,1585772,53372,136
LF7JjvGc40s,Hugo est un sorcier,2024-03-08T18:00:18Z,PT58S,371631,23146,21
7iyWMETFCIM,Elle rigole à la pire blague,2024-03-05T18:00:04Z,PT54S,951000,38768,56
Qdusp1B-uHs,Le happening légendaire de Billy,2024-03-01T18:00:18Z,PT58S,261517,13854,26
5IhXRb3XmD0,Leur complicité est incroyable,2024-02-27T18:00:02Z,PT54S,3309191,169994,280
WZYv5448_wQ,Maxime met une clim à sa prof,2024-02-24T18:00:15Z,PT58S,2218551,116227,202
QKFWIYxmIAs,Vous croyez au premier amour ?,2024-02-22T18:00:10Z,PT48S,339824,15064,130
_44BHJHKffg,J'arnaque mes amis,2024-02-20T18:00:15Z,PT46S,981765,53577,20
fy8oyMhBDn4,Mister V tabasse un enfant,2024-02-18T18:00:17Z,PT42S,87464,5052,28
Ys4ac66UmeQ,Gotaga affronte sa phobie du vide,2024-02-15T18:00:15Z,PT59S,70076,3974,23
Fz8645G3074,On traverse une rivière remplie de crocodiles,2024-02-13T18:00:06Z,PT1M,71490,4078,17
5wl4-cVpi2c,Démonstration étrange d'un Fakir,2024-02-11T18:00:06Z,PT48S,99469,4657,35
JxCaurrYX_8,Je me fais agresser en tournage,2024-02-08T18:00:10Z,PT57S,558864,45559,86
oRzIf_u2fyU,Je bloque ma main dans une tapette à souris,2024-02-06T18:00:23Z,PT50S,258027,14225,18
tAgBMs6mKOI,On énerve un chien dangereux,2024-02-04T18:00:31Z,PT56S,188170,12202,22
0s1l7z4mH8k,Il a refusé de bosser avec moi,2024-02-02T06:00:00Z,PT19S,4050233,146764,345
75r4AavP9Gk,Horty affronte sa phobie des insectes,2024-02-01T18:00:07Z,PT53S,61943,2989,17
80Gd100ln9A,La gestion des dramas,2024-02-01T06:00:04Z,PT32S,102864,5269,24
W_lpzLYW15Y,Le travail colossal de Théodort Bonnet,2024-01-31T06:00:11Z,PT51S,76784,4106,21
